,close,SMA 7,SMA 25,SMA 99,EMA 7,EMA 25,EMA 99,bband upper,bband middle,bband lower,ADX 14,K,D,J,MOM 7,MOM 25,MOM 99,WMA 7,WMA 25,WMA 99,RSI 6,RSI 12,RSI 24,STCK 10,STCD 7
541,"[29202.323,29271.182]","[29210.071,29276.33]","[29226.295,29290.063]","[29199.794,29257.827]","[29214.447,29280.146]","[29232.388,29294.909]","[29178.839,29236.786]","[29262.3,29331.847]","[29213.864,29279.593]","[29165.681,29229.653]","[28.348,29.555]","[70.721,72.49]","[54.687,56.304]","[101.159,103.928]",71.63999999999942,-69.95000000000073,243.6999999999971,29232.904642857342,29239.56486153868,29256.168741414014,54.7968696612449,48.77580425648129,48.85015149361164,77.39148981550534,55.398457924659866
542,"[29202.323,29271.182]","[29210.071,29276.33]","[29226.295,29290.063]","[29199.794,29257.827]","[29214.447,29280.146]","[29232.388,29294.909]","[29178.839,29236.786]","[29262.3,29331.847]","[29213.864,29279.593]","[29165.681,29229.653]","[25.933,27.14]","[72.49,74.259]","[61.155,62.772]","[95.622,98.391]",41.18999999999869,-63.58000000000175,238.86000000000058,29238.583928571632,29238.187538461767,29257.066856565532,55.65140550590056,49.21623519693404,49.06125790819733,79.9829369734453,63.53250328907017
543,"[29271.182,29340.04]","[29210.071,29276.33]","[29226.295,29290.063]","[29199.794,29257.827]","[29214.447,29280.146]","[29232.388,29294.909]","[29178.839,29236.786]","[29262.3,29331.847]","[29213.864,29279.593]","[29101.709,29165.681]","[25.933,27.14]","[81.334,83.103]","[67.624,69.241]","[106.697,109.466]",78.36000000000058,-39.099999999998545,286.27000000000044,29253.99964285735,29240.454307692533,29258.813317171596,68.73578248871057,56.70766491901269,52.8105387134237,96.02532254187108,72.98008241011594
544,"[29271.182,29340.04]","[29210.071,29276.33]","[29226.295,29290.063]","[29199.794,29257.827]","[29214.447,29280.146]","[29232.388,29294.909]","[29178.839,29236.786]","[29262.3,29331.847]","[29213.864,29279.593]","[29101.709,29165.681]","[25.933,27.14]","[86.641,88.41]","[74.092,75.709]","[109.466,112.235]",128.23999999999796,-10.0,313.75,29275.999285714486,29245.728307692534,29261.252545454423,75.88364166427264,61.84762535943875,55.66139305012293,98.91256521465864,83.35485376607906
545,"[29271.182,29340.04]","[29210.071,29276.33]","[29226.295,29290.063]","[29199.794,29257.827]","[29214.447,29280.146]","[29232.388,29294.909]","[29178.839,29236.786]","[29331.847,29401.393]","[29213.864,29279.593]","[29165.681,29229.653]","[25.933,27.14]","[83.103,84.872]","[77.326,78.943]","[95.622,98.391]",82.48999999999795,-52.45000000000073,288.0,29287.568928571625,29249.233076923305,29263.160389898872,64.79913929704438,57.22626316867475,53.55634675370949,79.13487738419539,85.1448910309417
546,"[29271.182,29340.04]","[29276.33,29342.589]","[29226.295,29290.063]","[29199.794,29257.827]","[29280.146,29345.844]","[29232.388,29294.909]","[29178.839,29236.786]","[29331.847,29401.393]","[29213.864,29279.593]","[29165.681,29229.653]","[25.933,27.14]","[83.103,84.872]","[78.943,80.56]","[90.084,92.853]",98.63999999999943,-36.56000000000131,259.70000000000067,29298.3050000002,29253.549230769462,29265.17905252513,66.89464289317169,58.44934157835017,54.20889549563157,84.57150806900351,88.00267142838284
547,"[29271.182,29340.04]","[29276.33,29342.589]","[29226.295,29290.063]","[29199.794,29257.827]","[29280.146,29345.844]","[29232.388,29294.909]","[29178.839,29236.786]","[29331.847,29401.393]","[29213.864,29279.593]","[29165.681,29229.653]","[24.726,25.933]","[81.334,83.103]","[80.56,82.177]","[84.546,87.315]",47.909999999999854,-2.4400000000023283,190.7700000000004,29305.335714285913,29257.921723077157,29267.130650504936,66.48434252810338,58.29225370319649,54.14032189193496,83.08850668044565,85.58674381130365
548,"[29271.182,29340.04]","[29276.33,29342.589]","[29226.295,29290.063]","[29199.794,29257.827]","[29280.146,29345.844]","[29232.388,29294.909]","[29178.839,29236.786]","[29331.847,29401.393]","[29279.593,29345.322]","[29165.681,29229.653]","[25.933,27.14]","[79.565,81.334]","[80.56,82.177]","[76.239,79.008]",62.11000000000058,-18.549999999999272,155.6800000000003,29308.90535714305,29261.76326153869,29268.903709090802,62.10137544659771,56.69822461275025,53.463610812751405,73.33440877560783,85.007160805604
549,"[29271.182,29340.04]","[29276.33,29342.589]","[29226.295,29290.063]","[29199.794,29257.827]","[29280.146,29345.844]","[29232.388,29294.909]","[29178.839,29236.786]","[29331.847,29401.393]","[29279.593,29345.322]","[29229.653,29293.625]","[25.933,27.14]","[68.952,70.721]","[75.709,77.326]","[51.318,54.087]",37.75,-36.47999999999956,174.59999999999852,29304.774285714484,29263.974953846388,29270.2067171716,49.76711456610546,51.85223958459897,51.3648057612239,55.6460719470868,81.53046580183852
550,"[29271.182,29340.04]","[29276.33,29342.589]","[29226.295,29290.063]","[29199.794,29257.827]","[29280.146,29345.844]","[29232.388,29294.909]","[29178.839,29236.786]","[29331.847,29401.393]","[29279.593,29345.322]","[29229.653,29293.625]","[24.726,25.933]","[61.876,63.645]","[70.858,72.475]","[43.011,45.78]",-5.850000000002183,-47.760000000002044,184.71999999999755,29299.602500000186,29266.393507692534,29271.499052525138,50.429759169439315,52.10272271103618,51.476291082162255,48.999146191061456,74.8124406088657
551,"[29271.182,29340.04]","[29276.33,29342.589]","[29226.295,29290.063]","[29199.794,29257.827]","[29280.146,29345.844]","[29232.388,29294.909]","[29178.839,29236.786]","[29331.847,29401.393]","[29279.593,29345.322]","[29229.653,29293.625]","[23.519,24.726]","[56.569,58.338]","[66.007,67.624]","[34.704,37.473]",-44.319999999999716,-39.04999999999927,187.36999999999898,29294.40464285734,29268.886707692534,29272.735270706962,49.82697608054292,51.87771648316953,51.38236477030944,48.10739019068322,67.5545584625835
552,"[29271.182,29340.04]","[29276.33,29342.589]","[29226.295,29290.063]","[29199.794,29257.827]","[29280.146,29345.844]","[29232.388,29294.909]","[29178.839,29236.786]","[29262.3,29331.847]","[29279.593,29345.322]","[29229.653,29293.625]","[22.312,23.519]","[47.725,49.494]","[59.538,61.155]","[23.628,26.397]",-20.929999999996653,-13.709999999999127,204.6800000000003,29290.787142857334,29271.49929230792,29273.93343636352,49.81937411625534,51.875116599516154,51.38132403362083,45.20781171757844,62.70783479592394
553,"[29271.182,29340.04]","[29276.33,29342.589]","[29226.295,29290.063]","[29199.794,29257.827]","[29280.146,29345.844]","[29232.388,29294.909]","[29178.839,29236.786]","[29262.3,29331.847]","[29279.593,29345.322]","[29229.653,29293.625]","[21.104,22.312]","[45.956,47.725]","[56.304,57.921]","[26.397,29.166]",-23.529999999998843,113.18000000000029,226.92000000000192,29289.379642857344,29274.60406153869,29275.20725252513,54.67389936879618,53.36658717292842,51.9751133741144,41.91631003328438,56.61423507653549
554,"[29271.182,29340.04]","[29276.33,29342.589]","[29226.295,29290.063]","[29199.794,29257.827]","[29280.146,29345.844]","[29232.388,29294.909]","[29178.839,29236.786]","[29262.3,29331.847]","[29279.593,29345.322]","[29229.653,29293.625]","[21.104,22.312]","[42.418,44.187]","[51.453,53.07]","[23.628,26.397]",-27.56999999999971,49.59000000000015,223.0200000000004,29287.6200000002,29276.99366153869,29276.339826262516,49.94612989599175,51.934876777594525,51.44057242446114,36.24583927722103,49.92242544750341
555,"[29202.323,29271.182]","[29276.33,29342.589]","[29226.295,29290.063]","[29199.794,29257.827]","[29280.146,29345.844]","[29232.388,29294.909]","[29178.839,29236.786]","[29262.3,29331.847]","[29279.593,29345.322]","[29229.653,29293.625]","[19.897,21.104]","[31.804,33.573]","[44.985,46.602]","[4.246,7.015]",-43.430000000000284,23.459999999999127,202.9799999999996,29281.1300000002,29277.472215384845,29276.97014545443,33.357543038098754,45.54654330597091,48.92433443734956,9.07037565382486,40.74184928724869
